IRIS,P19_POP2064_CR,P19_RP_3040M2_CR,P19_RP_VOIT1_CR,P19_RP_VOIT2P_CR,label
950020000,-0.8589654269225686,-0.6660985828781978,-1.0149076924829474,0.12459787882103919,1
950080000,-1.0025840388390872,-0.6856754397003672,-1.0054785948059128,-0.5459776213147662,1
950110000,-1.3467665279716452,-0.8147725224797704,-1.2922481100186294,-0.9098549601407117,1
950120000,-1.499549151885917,-0.8160817683695526,-1.3738197979314621,-1.1832922644371617,1
950140000,0.19681521150253428,0.5239039479171781,-0.12900172837527757,0.9061367669008915,3
950180101,1.9716846107086525,4.252280530640455,1.8889410704897456,0.38035627692651647,4
950180102,0.49270373997600414,1.1017599319809717,0.37587034354095156,0.14133398670414057,2
950180201,0.5246574310787162,1.1876650825718142,0.46982922037266284,-0.8458681459961589,2
950180202,1.992984628918491,1.9657077320821836,2.985422038820154,-0.31814481674424777,4
950180203,0.536282542902106,1.9909271967901137,0.6429760135334704,-0.9703289011883621,4
950180204,1.4258533691373647,2.3025390464502173,1.08941787612438,-0.6279760802732812,4
950180301,0.12017134626823987,0.08691649531378622,0.18838116799005938,-0.2788440128530038,2
950180302,0.6951476785041407,2.2870498862987483,0.4003260439871105,-0.10391946353820283,4
950180303,-1.3582893303072083,-0.02752270468499016,-1.2064439289703692,-1.3428367446918033,1
950180304,1.3853851773081436,3.5454757799181293,1.482548472667026,0.12390523864572987,4
950180401,0.2652706196709474,1.1310654764490855,0.5507044420278858,-0.20522309460721222,2
950180402,1.461499371355803,1.7745222917826713,1.3855831668988494,0.03811123490799967,4
950180403,0.9513349347646244,0.46299190560233794,0.7585769527387772,0.30974070783759,2
950180404,1.2515411122792133,0.9829268280826691,0.7133430880798444,0.16874247576417262,2
950180405,1.420939591186918,1.5628376096854042,1.237403097055068,0.5350255577743884,4
950180501,0.32020393319762624,0.08939433251243382,0.25171967798792283,-0.7243232827473594,2
950180502,0.9256334103728242,-0.037456196445610955,1.000226131605572,-0.6178547696081523,2
950180503,0.29447575619133387,0.08408047813121156,0.07917699277673756,-0.7769704054369458,2
950180504,0.8228765923774848,1.282385758286103,0.6523475536520423,-0.49035966884136906,2
950180601,-1.5641865485730495,-0.81521802358837,-1.439385844873339,-1.3131304057968136,1
950180602,-1.3702583383148268,-0.8776792277639834,-1.370640551552912,-1.3166791253691252,1
950180603,0.46366572749852347,-0.21849176134177078,-0.013403347996777547,-0.7508557985028771,2
950180604,1.0845563470371085,-0.33972736160655514,0.6949924068124784,-0.5011968859315062,2
950180605,0.6376372159395649,-0.1778936655523717,0.22082883283496468,-0.7379866208202247,2
950180606,-0.3076915409458115,-0.4975752874746308,-0.34097783033399726,-0.9617548965622279,1
950180607,-0.14222758585286582,-0.5481445931276514,-0.2924073172001605,-0.7123997818690535,1
950180701,-0.10141239446570528,-0.8283901396675325,-0.2861530945914542,1.0687690578035933,2
950180702,0.8209793444247814,-0.061136581110855515,0.700355284871673,1.601645926056103,3
950180703,0.4295581435828793,-0.20374606079854984,0.3324900061522267,0.5297144540665009,2
950180801,0.8148999994364972,0.615578767779847,0.5755273182032143,0.4828589080240376,2
950180802,1.1632447853474197,0.6328782886482126,0.8861165032089388,0.8366914593156203,3
950180901,0.2899309375170552,-0.29367735627538055,0.19042028665725455,0.29397753959823364,2
950180902,2.506466642246066,3.15277275503125,2.6868399214893794,1.136150039097255,4
950180903,0.4381903261377024,1.0837805675343752,0.1684566503976434,-0.17247745187454924,2
