,label,moyenne revenus,minimum revenus,maximum revenus,moyenne loyer/m²,minimum loyer/m²,maximum loyer/m²
0,1,22136.666666666668,14900.0,18878.473171207876,16.051302077333332,14.40517899,17.44732626
1,3,30656.0,26345.0,27753.909090909092,16.839328375714285,16.10172374,18.8314275
2,2,25548.571428571428,22885.625,24086.40666278166,16.446854676923074,15.68735496,17.24026221
