X;Y;type;name;address;com_insee;com_nom;geometry
2.5351569;48.7899264997444;fast_food;Chez Pedro;;94055;Ormesson-sur-Marne;POINT (2.5351569 48.7899264997444)
2.5148539;48.775431999748;fast_food;Restaurant Istanbul;;94071;Sucy-en-Brie;POINT (2.5148539 48.775431999748)
2.4643877;48.7809426997466;pharmacy;Pharmacie Rehana;2 Rue Edouard Manet;94028;Créteil;POINT (2.4643877 48.7809426997466)
2.5328965;48.791559899744;restaurant;Maison du Soleil;;94055;Ormesson-sur-Marne;POINT (2.5328965 48.791559899744)
2.468095;48.7686827997497;fast_food;L'Arena;;94028;Créteil;POINT (2.468095 48.7686827997497)
2.5751792;48.8092943997396;restaurant;Koyama Sushi;14 Avenue du Général de Gaulle;94059;Le Plessis-Trévise;POINT (2.5751792 48.8092943997396)
2.414202;48.8105828997393;fast_food;Di Napoli Pizza;96 Rue Véron;94002;Alfortville;POINT (2.414202 48.8105828997393)
2.57323;48.8103589997394;restaurant;O'massala;11 Avenue du Général de Gaulle;94059;Le Plessis-Trévise;POINT (2.57323 48.8103589997394)
2.4685456;48.7682266997498;supermarket;Franprix;;94028;Créteil;POINT (2.4685456 48.7682266997498)
2.5720926;48.7250323997605;bar;;;94070;Santeny;POINT (2.5720926 48.7250323997605)
2.5718255;48.7811415997466;restaurant;;;94060;La Queue-en-Brie;POINT (2.5718255 48.7811415997466)
2.4730871;48.7523863997537;restaurant;Brasserie Des Temps Durables;Place ARTHUR RIMBAUD;94044;Limeil-Brévannes;POINT (2.4730871 48.7523863997537)
2.5768892;48.7800493997469;fast_food;Allo Sushi;;94060;La Queue-en-Brie;POINT (2.5768892 48.7800493997469)
2.5391659;48.7279394997598;sports;Escape;;94048;Marolles-en-Brie;POINT (2.5391659 48.7279394997598)
2.4631196;48.7924065997438;bakery;Estaëlle;;94028;Créteil;POINT (2.4631196 48.7924065997438)
2.545598;48.7932109997436;medical_supply;;;94019;Chennevières-sur-Marne;POINT (2.545598 48.7932109997436)
2.5182048;48.7721919997488;supermarket;;;94071;Sucy-en-Brie;POINT (2.5182048 48.7721919997488)
2.5213262;48.7706089997492;bar;Le Quercy;;94071;Sucy-en-Brie;POINT (2.5213262 48.7706089997492)
